timeStep faceId meshDensityCounting-PID4 meshDensityCounting-PID7 meshDensityCounting-PID10 meshDensityCounting-PID13 meshDensityCounting-PID16
10 14 6 14 0 0 13
10 15 4 13 3 0 9
10 16 1 9 1 0 0
10 17 10 10 0 0 19
10 18 6 14 1 0 2
10 19 NA NA NA NA 26
10 20 NA NA NA NA 0
10 21 NA NA NA NA 0
10 22 NA NA NA NA 0
10 23 NA NA NA NA 30
10 24 NA NA NA NA 24
10 25 NA NA NA NA 0
10 26 NA NA NA NA 0
10 27 NA NA NA NA 26
10 28 NA NA NA NA 15
10 29 NA NA NA NA 3
10 30 NA NA NA NA 20
10 31 NA NA NA NA 0
10 32 NA NA NA NA 25
10 33 NA NA NA NA 0
10 34 NA NA NA NA 28
10 35 NA NA NA NA 0
10 36 NA NA NA NA 21
10 37 NA NA NA NA 0
10 38 NA NA NA NA 0
10 39 NA NA NA NA 0
10 40 NA NA NA NA 0
10 41 NA NA NA NA 0
10 42 NA NA NA NA 0
10 43 NA NA NA NA 0
10 44 NA NA NA NA 0
10 45 NA NA NA NA 0
10 46 NA NA NA NA 0
10 47 NA NA NA NA 0
10 48 NA NA NA NA 0
10 49 NA NA NA NA 0
10 50 NA NA NA NA 0
10 51 NA NA NA NA 0
10 52 NA NA NA NA 0
10 53 NA NA NA NA 0
10 54 NA NA NA NA 2
10 55 NA NA NA NA 15
10 56 NA NA NA NA 20
10 57 NA NA NA NA 18
10 58 NA NA NA NA 23
10 59 NA NA NA NA 0
10 60 NA NA NA NA 25
10 61 NA NA NA NA 24
10 62 NA NA NA NA 25
10 63 NA NA NA NA 23
10 64 NA NA NA NA 23
10 65 NA NA NA NA 8
10 66 NA NA NA NA 24
10 67 NA NA NA NA 9
10 68 NA NA NA NA 22
10 69 NA NA NA NA 10
10 70 NA NA NA NA 26
10 71 NA NA NA NA 26
10 72 NA NA NA NA 21
10 73 NA NA NA NA 3
10 74 NA NA NA NA 18
10 75 NA NA NA NA 24
10 76 NA NA NA NA 28
10 77 NA NA NA NA 19
10 78 NA NA NA NA 22
10 79 NA NA NA NA 12
10 80 NA NA NA NA 6
11 1 11 15 0 0 15
11 2 10 12 0 0 23
11 3 9 12 0 0 0
11 4 13 12 0 0 24
11 5 9 11 1 0 30
11 6 9 11 0 0 22
11 7 10 10 0 0 0
11 8 2 11 4 0 26
11 9 13 15 0 0 31
11 10 6 16 3 0 23
11 11 2 10 4 0 25
11 12 5 10 3 0 20
11 13 1 11 4 0 26
11 14 6 15 2 0 15
11 15 1 13 4 0 8
11 16 1 10 2 0 2
11 17 9 11 0 0 18
11 18 6 16 1 0 4
11 19 NA NA NA NA 29
11 20 NA NA NA NA 0
11 21 NA NA NA NA 0
11 22 NA NA NA NA 0
11 23 NA NA NA NA 32
11 24 NA NA NA NA 28
11 25 NA NA NA NA 0
11 26 NA NA NA NA 0
11 27 NA NA NA NA 22
11 28 NA NA NA NA 18
11 29 NA NA NA NA 5
11 30 NA NA NA NA 23
11 31 NA NA NA NA 0
11 32 NA NA NA NA 25
11 33 NA NA NA NA 0
11 34 NA NA NA NA 24
11 35 NA NA NA NA 0
11 36 NA NA NA NA 21
11 37 NA NA NA NA 2
11 38 NA NA NA NA 0
11 39 NA NA NA NA 0
11 40 NA NA NA NA 0
11 41 NA NA NA NA 0
11 42 NA NA NA NA 0
11 43 NA NA NA NA 0
11 44 NA NA NA NA 0
11 45 NA NA NA NA 0
11 46 NA NA NA NA 0
11 47 NA NA NA NA 0
11 48 NA NA NA NA 0
11 49 NA NA NA NA 0
11 50 NA NA NA NA 0
11 51 NA NA NA NA 0
11 52 NA NA NA NA 0
11 53 NA NA NA NA 0
11 54 NA NA NA NA 4
11 55 NA NA NA NA 14
11 56 NA NA NA NA 21
11 57 NA NA NA NA 17
11 58 NA NA NA NA 21
11 59 NA NA NA NA 0
11 60 NA NA NA NA 25
11 61 NA NA NA NA 25
11 62 NA NA NA NA 23
11 63 NA NA NA NA 23
11 64 NA NA NA NA 24
11 65 NA NA NA NA 7
11 66 NA NA NA NA 18
11 67 NA NA NA NA 9
11 68 NA NA NA NA 21
11 69 NA NA NA NA 9
11 70 NA NA NA NA 24
11 71 NA NA NA NA 27
11 72 NA NA NA NA 19
11 73 NA NA NA NA 2
11 74 NA NA NA NA 20
11 75 NA NA NA NA 22
11 76 NA NA NA NA 29
11 77 NA NA NA NA 20
11 78 NA NA NA NA 20
11 79 NA NA NA NA 11
11 80 NA NA NA NA 4
12 1 13 17 0 0 17
12 2 10 10 0 0 24
12 3 10 14 0 0 0
12 4 12 13 0 0 23
12 5 10 8 3 0 30
12 6 9 10 0 0 25
12 7 9 11 0 0 0
12 8 2 11 5 0 23
12 9 11 15 1 0 34
12 10 6 15 3 0 21
12 11 1 13 7 0 25
12 12 4 11 3 0 23
12 13 0 12 6 0 25
12 14 6 13 3 0 18
12 15 1 13 6 0 9
12 16 1 12 2 0 3
12 17 8 11 0 0 19
12 18 4 14 2 0 5
12 19 NA NA NA NA 27
12 20 NA NA NA NA 0
12 21 NA NA NA NA 0
12 22 NA NA NA NA 0
12 23 NA NA NA NA 32
12 24 NA NA NA NA 24
12 25 NA NA NA NA 0
12 26 NA NA NA NA 1
12 27 NA NA NA NA 21
12 28 NA NA NA NA 16
12 29 NA NA NA NA 6
12 30 NA NA NA NA 23
12 31 NA NA NA NA 0
12 32 NA NA NA NA 24
12 33 NA NA NA NA 0
12 34 NA NA NA NA 25
12 35 NA NA NA NA 0
12 36 NA NA NA NA 26
12 37 NA NA NA NA 5
12 38 NA NA NA NA 0
